GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
150181 0.4078 9.3840 0.2790 22.219 21.613 21.832 21.746 -19.515 -20.121 -19.902 -19.988
160183 0.2738 11.6820 0.1030 19.100 17.897 17.513 17.209 -21.627 -22.830 -23.214 -23.518
500009 0.3444 11.5890 0.0225 20.076 18.796 18.282 18.029 -21.227 -22.507 -23.021 -23.274
580005 0.3200 10.7120 0.0115 21.913 20.854 20.376 20.057 -19.205 -20.264 -20.742 -21.061
000077 0.5065 10.7960 0.2925 22.081 21.786 21.192 20.804 -20.214 -20.509 -21.103 -21.491
140124 0.3450 10.0400 0.5275 21.717 21.166 21.066 20.759 -19.591 -20.142 -20.242 -20.549
150185 0.5193 9.4130 0.1575 22.866 22.069 22.163 22.294 -19.494 -20.291 -20.197 -20.066
540110 0.3430 11.3160 0.1010 20.511 19.366 18.916 18.641 -20.782 -21.927 -22.377 -22.652
150186 0.4531 10.2010 0.2205 21.925 21.501 21.081 20.913 -20.080 -20.504 -20.924 -21.092
150652 0.5383 10.4930 0.4915 21.823 21.680 21.304 21.016 -20.631 -20.774 -21.150 -21.438
160197 0.3535 10.1580 0.0870 21.528 20.751 20.555 20.290 -19.841 -20.618 -20.814 -21.079
310205 0.2808 10.9820 0.0105 21.232 20.103 19.602 19.255 -19.558 -20.687 -21.188 -21.535
350630 0.3046 11.1490 0.0525 19.616 18.850 18.520 18.193 -21.378 -22.144 -22.474 -22.801
380138 0.4586 11.2010 0.2860 21.116 20.360 19.837 19.531 -20.921 -21.677 -22.200 -22.506
390185 0.4861 10.1650 0.1005 22.530 21.525 21.108 21.041 -19.658 -20.663 -21.080 -21.147
420171 0.4087 10.2900 0.4695 22.758 21.878 21.630 21.447 -18.982 -19.862 -20.110 -20.293
000080 0.4512 9.6350 0.1110 21.964 21.645 21.338 21.447 -20.031 -20.350 -20.657 -20.548
030068 0.2956 11.4570 0.1025 19.862 18.838 18.362 18.105 -21.056 -22.080 -22.556 -22.813
071007 0.4839 11.0440 0.3115 21.983 21.276 20.700 20.441 -20.193 -20.900 -21.476 -21.735
110426 1.0127 11.0170 0.4090 23.827 22.914 22.156 21.620 -20.307 -21.220 -21.978 -22.514
150195 0.2668 11.1360 0.0535 20.205 19.367 18.884 18.583 -20.458 -21.296 -21.779 -22.080
340347 0.3550 10.0800 0.0820 20.893 20.286 20.182 19.854 -20.487 -21.094 -21.198 -21.526
380145 0.4842 10.6090 0.1450 23.588 22.167 21.500 21.306 -18.590 -20.011 -20.678 -20.872
500016 0.3111 11.0970 0.0515 20.926 19.852 19.289 19.059 -20.121 -21.195 -21.758 -21.988
580010 0.3282 11.3450 0.1580 20.263 19.133 18.701 18.515 -20.918 -22.048 -22.480 -22.666
590038 0.5480 11.2800 0.0820 21.435 20.624 20.046 19.739 -21.066 -21.877 -22.455 -22.762
150196 0.5026 10.7710 0.2105 22.112 20.992 20.588 20.359 -20.163 -21.283 -21.687 -21.916
160200 0.4234 10.8670 0.1495 21.074 20.233 19.861 19.608 -20.756 -21.597 -21.969 -22.222
330049 0.5153 9.1290 58.0180 23.760 22.830 22.601 24.452 -18.580 -19.510 -19.739 -17.888
350637 0.4541 10.4020 0.2360 21.748 20.605 20.425 20.303 -20.263 -21.406 -21.586 -21.708
500018 0.3621 10.7530 0.2495 21.587 20.727 20.103 20.023 -19.843 -20.703 -21.327 -21.407
010074 0.6892 10.5170 0.4165 22.507 21.299 21.055 20.896 -20.599 -21.807 -22.051 -22.210
310219 0.4330 9.7410 0.5325 22.387 21.979 21.750 21.434 -19.501 -19.909 -20.138 -20.454
390229 0.4229 9.5040 0.1735 23.440 22.522 22.285 22.225 -18.387 -19.305 -19.542 -19.602
470232 0.2219 9.7370 0.1780 21.038 20.596 20.366 20.169 -19.171 -19.613 -19.843 -20.040
550197 0.2494 11.4130 0.0050 19.090 18.177 17.767 17.498 -21.406 -22.319 -22.729 -22.998
060321 0.1433 11.2880 0.0705 18.150 17.287 16.859 16.635 -21.008 -21.871 -22.299 -22.523
110429 0.4393 10.0580 0.2065 21.368 20.738 20.590 20.398 -20.558 -21.188 -21.336 -21.528
160206 0.4500 10.6990 0.2215 20.901 20.184 19.873 19.641 -21.087 -21.804 -22.115 -22.347
310220 0.3609 11.0110 0.0215 21.654 20.438 19.910 19.635 -19.768 -20.984 -21.512 -21.787
330051 0.1311 8.9600 0.4380 20.075 19.849 19.745 19.610 -18.873 -19.099 -19.203 -19.338
470233 0.4277 11.3880 0.0175 21.490 20.284 19.688 19.337 -20.367 -21.573 -22.169 -22.520
480371 0.5022 10.6690 0.4430 21.248 20.849 20.670 20.365 -21.025 -21.424 -21.603 -21.908
500369 0.5747 10.0870 0.5395 21.745 21.460 21.089 21.103 -20.881 -21.166 -21.537 -21.523
550200 0.2552 11.0240 0.0975 20.894 19.746 19.282 18.970 -19.659 -20.807 -21.271 -21.583
090037 0.1447 10.1090 0.0395 20.050 19.365 18.961 18.815 -19.131 -19.816 -20.220 -20.366
140152 0.8043 9.6940 0.5095 21.960 21.965 22.174 21.854 -21.557 -21.552 -21.343 -21.663
330052 0.1943 10.0610 0.1725 21.119 20.264 19.938 19.683 -18.767 -19.622 -19.948 -20.203
390236 0.3242 11.2760 0.1015 20.308 19.187 18.728 18.512 -20.842 -21.963 -22.422 -22.638
110431 0.3420 11.4760 0.0505 20.240 19.177 18.710 18.361 -21.045 -22.108 -22.575 -22.924
