# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc580118 11.4950 0.1425
PSc010204 10.5190 0.3150
PSc040121 9.4090 0.2815
PSc140215 11.1720 0.0290
PSc151121 10.2890 0.3255
PSc480064 8.8670 0.2585
PSc560087 11.2700 0.0155
PSc000190 9.7990 0.8895
PSc090196 10.7460 0.1965
PSc100116 10.1850 0.1735
PSc130721 10.7570 0.4130
PSc150276 10.6760 0.1365
PSc420352 9.1850 0.6170
PSc480065 11.0030 0.2495
PSc490007 9.7610 0.1390
PSc500074 9.4470 0.4210
PSc530460 11.1430 0.2175
PSc560099 11.5140 0.0125
PSc580122 8.9840 0.7565
PSc120706 11.4290 0.0490
PSc140221 10.3580 0.3560
PSc330128 10.8120 0.1375
PSc350168 9.6560 0.2120
PSc420355 11.8010 0.0995
PSc490008 9.4300 0.7260
PSc590170 10.8940 57.4155
PSc000196 9.6600 0.2085
PSc050291 11.1690 0.2610
PSc070003 9.7220 0.0975
PSc110719 11.3480 0.2345
PSc120713 10.1400 0.2210
PSc190297 10.9230 0.1945
PSc300105 9.8660 0.0630
PSc330132 10.4890 0.1720
PSc360627 11.1950 0.0635
PSc460002 11.3260 0.0785
PSc490015 10.5500 0.1500
PSc100121 10.7740 0.2065
PSc110721 11.8470 0.5800
PSc120715 11.3650 0.1325
PSc500078 10.7190 0.0095
PSc070020 9.6460 0.2590
PSc440474 10.3590 0.2205
PSc500511 9.6330 0.5605
PSc540221 10.0550 0.1550
PSc560106 10.8030 0.0265
PSc590177 10.3300 0.0755
PSc000200 11.4990 0.0655
PSc040139 10.2240 0.2805
PSc050296 10.9050 0.0705
PSc090227 9.8270 0.5145
PSc110725 11.6450 0.4850
PSc180213 10.0290 0.5825
PSc360027 11.6070 0.0455
PSc460005 10.6900 0.3375
PSc480080 10.6010 0.1995
PSc510641 11.1180 0.0580
PSc560107 10.9450 0.0485
PSc590194 10.6340 0.1085
PSc100142 10.8070 0.2915
PSc110726 10.6530 0.2025
PSc130733 11.4790 0.0340
PSc140229 9.8820 0.2450
PSc180214 11.6860 0.0395
PSc300119 9.4820 0.5085
PSc310552 11.2900 0.1090
PSc330143 11.4720 0.0155
PSc530500 9.4090 0.1905
PSc540227 10.7070 0.6175
PSc010218 9.7370 0.1515
PSc050298 10.8600 0.3185
PSc080087 10.7330 0.0450
PSc100163 10.4340 0.2885
PSc140234 10.7550 0.2985
PSc180225 10.0080 0.8325
PSc350181 10.8320 0.0750
PSc540228 10.0400 0.4730
PSc000210 10.7060 0.2885
PSc010222 10.1640 0.3010
PSc040147 10.4590 0.1480
PSc070054 11.8350 0.0100
PSc100164 10.6120 0.3020
PSc140240 8.9690 0.7230
PSc300121 9.5410 0.4035
PSc310555 10.7720 0.0370
PSc480091 10.4800 0.1205
PSc500085 11.4760 0.0050
PSc510650 11.8810 0.0350
PSc530502 10.2040 0.1955
PSc050303 11.2480 0.1060
PSc150314 10.7990 0.1780
PSc190324 9.4880 0.6420
PSc360043 10.6950 0.3955
PSc370504 11.0380 0.4460
PSc420407 10.5040 0.2500
PSc440504 11.1740 0.1775
PSc460013 9.8910 0.5500
PSc490037 11.4170 0.1905
PSc500086 10.6470 0.5545
PSc560113 9.9710 0.1905
PSc010230 10.3950 0.1565
PSc040151 11.2070 0.0150
PSc070071 11.7160 0.1690
PSc110734 11.4040 0.0200
PSc180255 9.7590 0.3375
PSc190327 11.7860 0.0755
PSc310564 11.8010 0.0195
PSc380287 10.8030 0.2815
PSc440506 10.6340 0.6540
PSc460019 9.7780 0.5030
PSc500088 11.4210 0.0445
PSc510653 9.3200 0.1965
PSc080098 10.3450 0.3445
PSc190340 10.7480 0.0655
PSc310574 10.2340 0.1430
PSc480103 10.1700 0.5545
PSc000220 11.3350 0.0830
PSc070096 11.3560 0.0815
PSc090256 10.7880 0.0340
PSc170044 10.4720 0.6645
PSc310578 11.1630 0.2985
PSc400103 9.6690 0.1895
PSc420417 10.9340 0.0680
